time(sec), p_des[0], p_des[1], p_meas[0], p_meas[1]
0.006, 0, 0, 0, 0
0.011, 0, 0, 0, 0
0.016, 0, 0, 0, 0
0.021, 0, 0, 0, 0
0.026, 0, 0, 0, 0
0.031, 0, 0, 0, 0
0.036, 0, 0, 0, 0
0.041, 0, 0, 0, 0
0.046, 0, 0, 0, 0
0.051, 0, 0, 0, 0
0.056, 0, 0, 0, 0
0.061, 0, 0, 0, 0
0.066, 0, 0, 0, 0
0.071, 0, 0, 0, 0
0.076, 0, 0, 0, 0
0.081, 0, 0, 0, 0
0.086, 0, 0, 0, 0
0.091, 0, 0, 0, 0
0.096, 0, 0, 0, 0
0.102, 0, 0, 0, 0
0.106, 0, 0, 0, 0
0.112, 0, 0, 0, 0
0.117, 0, 0, 0, 0
0.122, 0, 0, 0, 0
0.126, 0, 0, 0, 0
0.131, 0, 0, 0, 0
0.136, 0, 0, 0, 0
0.141, 0, 0, 0, 0
0.146, 0, 0, 0, 0
0.151, 0, 0, 0, 0
0.156, 0, 0, 0, 0
0.161, 0, 0, 0, 0
0.166, 0, 0, 0, 0
0.171, 0, 0, 0, 0
0.176, 0, 0, 0, 0
0.181, 0, 0, 0, 0
0.186, 0, 0, 0, 0
0.191, 0, 0, 0, 0
0.196, 0, 0, 0, 0
0.201, 0, 0, 0, 0
0.206, 0, 0, 0, 0
0.211, 0, 0, 0, 0
0.216, 0, 0, 0, 0
0.221, 0, 0, 0, 0
0.226, 0, 0, 0, 0
0.231, 0, 0, 0, 0
0.236, 0, 0, 0, 0
0.242, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.252, 0, 0, 0, 0
0.256, 0, 0, 0, 0
0.261, 0, 0, 0, 0
0.266, 0, 0, 0, 0
0.271, 0, 0, 0, 0
0.276, 0, 0, 0, 0
0.281, 0, 0, 0, 0
0.286, 0, 0, 0, 0
0.291, 0, 0, 0, 0
0.296, 0, 0, 0, 0
0.302, 0, 0, 0, 0
0.306, 0, 0, 0, 0
0.311, 0, 0, 0, 0
0.316, 0, 0, 0, 0
0.321, 0, 0, 0, 0
0.326, 0, 0, 0, 0
0.331, 0, 0, 0, 0
0.336, 0, 0, 0, 0
0.341, 0, 0, 0, 0
0.346, 0, 0, 0, 0
0.351, 0, 0, 0, 0
0.356, 0, 0, 0, 0
0.361, 0, 0, 0, 0
0.366, 0, 0, 0, 0
0.372, 0, 0, 0, 0
0.377, 0, 0, 0, 0
0.381, 0, 0, 0, 0
0.386, 0, 0, 0, 0
0.392, 0, 0, 0, 0
0.397, 0, 0, 0, 0
0.402, 0, 0, 0, 0
0.406, 0, 0, 0, 0
0.411, 0, 0, 0, 0
0.416, 0, 0, 0, 0
0.421, 0, 0, 0, 0
0.426, 0, 0, 0, 0
0.431, 0, 0, 0, 0
0.436, 0, 0, 0, 0
0.441, 0, 0, 0, 0
0.446, 0, 0, 0, 0
0.451, 0, 0, 0, 0
0.457, 0, 0, 0, 0
0.462, 0, 0, 0, 0
0.466, 0, 0, 0, 0
0.471, 0, 0, 0, 0
0.477, 0, 0, 0, 0
0.481, 0, 0, 0, 0
0.486, 0, 0, 0, 0
0.491, 0, 0, 0, 0
0.496, 0, 0, 0, 0
0.501, 0, 0, 0, 0
0.506, 0, 0, 0, 0
0.511, 0, 0, 0, 0
0.517, 0, 0, 0, 0
0.522, 0, 0, 0, 0
0.527, 0, 0, 0, 0
0.531, 0, 0, 0, 0
0.536, 0, 0, 0, 0
0.541, 0, 0, 0, 0
0.546, 0, 0, 0, 0
0.551, 0, 0, 0, 0
0.556, 0, 0, 0, 0
0.561, 0, 0, 0, 0
0.566, 0, 0, 0, 0
0.571, 0, 0, 0, 0
0.576, 0, 0, 0, 0
0.581, 0, 0, 0, 0
0.586, 0, 0, 0, 0
0.591, 0, 0, 0, 0
0.596, 0, 0, 0, 0
0.601, 0, 0, 0, 0
0.606, 0, 0, 0, 0
0.611, 0, 0, 0, 0
0.616, 0, 0, 0, 0
0.621, 0, 0, 0, 0
0.626, 0, 0, 0, 0
0.631, 0, 0, 0, 0
0.636, 0, 0, 0, 0
0.641, 0, 0, 0, 0
0.646, 0, 0, 0, 0
0.652, 0, 0, 0, 0
0.657, 0, 0, 0, 0
0.662, 0, 0, 0, 0
0.666, 0, 0, 0, 0
0.672, 0, 0, 0, 0
0.676, 0, 0, 0, 0
0.682, 0, 0, 0, 0
0.686, 0, 0, 0, 0
0.691, 0, 0, 0, 0
0.696, 0, 0, 0, 0
0.702, 0, 0, 0, 0
0.706, 0, 0, 0, 0
0.711, 0, 0, 0, 0
0.717, 0, 0, 0, 0
0.721, 0, 0, 0, 0
0.726, 0, 0, 0, 0
0.731, 0, 0, 0, 0
0.736, 0, 0, 0, 0
0.741, 0, 0, 0, 0
0.746, 0, 0, 0, 0
0.751, 0, 0, 0, 0
0.757, 0, 0, 0, 0
0.762, 0, 0, 0, 0
0.766, 0, 0, 0, 0
0.772, 0, 0, 0, 0
0.776, 0, 0, 0, 0
0.782, 0, 0, 0, 0
0.786, 0, 0, 0, 0
0.791, 0, 0, 0, 0
0.796, 0, 0, 0, 0
0.801, 0, 0, 0, 0
0.806, 0, 0, 0, 0
0.811, 0, 0, 0, 0
0.816, 0, 0, 0, 0
0.821, 0, 0, 0, 0
0.826, 0, 0, 0, 0
0.831, 0, 0, 0, 0
0.836, 0, 0, 0, 0
0.841, 0, 0, 0, 0
0.846, 0, 0, 0, 0
0.851, 0, 0, 0, 0
0.856, 0, 0, 0, 0
0.861, 0, 0, 0, 0
0.866, 0, 0, 0, 0
0.871, 0, 0, 0, 0
0.876, 0, 0, 0, 0
0.882, 0, 0, 0, 0
0.886, 0, 0, 0, 0
0.891, 0, 0, 0, 0
0.896, 0, 0, 0, 0
0.902, 0, 0, 0, 0
0.906, 0, 0, 0, 0
0.911, 0, 0, 0, 0
0.916, 0, 0, 0, 0
0.921, 0, 0, 0, 0
0.926, 0, 0, 0, 0
0.931, 0, 0, 0, 0
0.936, 0, 0, 0, 0
0.941, 0, 0, 0, 0
0.946, 0, 0, 0, 0
0.951, 0, 0, 0, 0
0.956, 0, 0, 0, 0
0.962, 0, 0, 0, 0
0.966, 0, 0, 0, 0
0.971, 0, 0, 0, 0
0.977, 0, 0, 0, 0
0.982, 0, 0, 0, 0
0.986, 0, 0, 0, 0
0.991, 0, 0, 0, 0
0.996, 0, 0, 0, 0
1.001, 0, 0, 0, 0
1.006, 0, 0, 0, 0
1.012, 0, 0, 0, 0
1.017, 0, 0, 0, 0
1.021, 0, 0, 0, 0
1.026, 0, 0, 0, 0
1.032, 0, 0, 0, 0
1.036, 0, 0, 0, 0
1.041, 0, 0, 0, 0
1.047, 0, 0, 0, 0
1.052, 0, 0, 0, 0
1.057, 0, 0, 0, 0
1.062, 0, 0, 0, 0
1.066, 0, 0, 0, 0
1.072, 0, 0, 0, 0
1.076, 0, 0, 0, 0
1.081, 0, 0, 0, 0
1.086, 0, 0, 0, 0
1.091, 0, 0, 0, 0
1.096, 0, 0, 0, 0
1.101, 0, 0, 0, 0
1.106, 0, 0, 0, 0
1.111, 0, 0, 0, 0
1.116, 0, 0, 0, 0
1.121, 0, 0, 0, 0
1.126, 0, 0, 0, 0
1.131, 0, 0, 0, 0
1.136, 0, 0, 0, 0
1.141, 0, 0, 0, 0
1.146, 0, 0, 0, 0
1.151, 0, 0, 0, 0
1.156, 0, 0, 0, 0
1.161, 0, 0, 0, 0
1.166, 0, 0, 0, 0
1.171, 0, 0, 0, 0
1.176, 0, 0, 0, 0
1.181, 0, 0, 0, 0
1.186, 0, 0, 0, 0
1.191, 0, 0, 0, 0
1.196, 0, 0, 0, 0
1.201, 0, 0, 0, 0
1.206, 0, 0, 0, 0
1.211, 0, 0, 0, 0
1.216, 0, 0, 0, 0
1.221, 0, 0, 0, 0
